date;today;total;co2;trees
2025/01/26 17:42:58;86.9;155.8;62.3;8568
2025/01/26 18:15:50;87.3;155.8;62.3;8568
2025/01/26 19:22:26;67.2;155.8;62.3;8568
2025/01/26 19:28:31;67.2;155.8;62.3;8568
2025/01/26 20:11:04;67.2;155.8;62.3;8568
2025/01/26 21:03:48;87.3;155.8;62.3;8568
2025/01/26 21:06:09;87.3;155.8;62.3;8568
2025/01/27 06:39:18;1.0;155.8;62.3;8568
2025/01/27 07:15:41;4.2;155.8;62.3;8568
2025/01/27 07:31:38;6.0;155.8;62.3;8568
2025/01/27 08:17:33;13.5;155.8;62.3;8568
2025/01/27 08:28:57;15.1;155.8;62.3;8568
2025/01/27 08:56:32;21.5;155.8;62.3;8569
2025/01/27 11:17:54;53.0;155.8;62.3;8570
2025/01/27 11:56:40;63.9;155.8;62.3;8571
2025/01/27 12:00:27;63.9;155.8;62.3;8571
2025/01/27 17:00:09;86.6;155.9;62.3;8572
2025/01/27 19:00:21;86.6;155.9;62.3;8572
2025/01/28 08:00:21;3.4;155.9;62.3;8572
2025/01/28 08:58:01;12.3;155.9;62.3;8573
2025/01/28 12:00:10;45.0;155.9;62.4;8575
